company_id,company_name,health_score,free_cash_flow_cr_final,capex_to_sales_pct,allocation_band
IOC,"Indian Oil Corporation
",47.73,39635.0,4.052800791393595,Balanced
IRCTC,Indian Railway Catering & Tourism Corporation Ltd,46.76,667.0,5.035128805620609,Aggressive Growth
IRFC,Indian Railway Finance Corporation Ltd,46.34,7906.0,0.0300243948207918,Balanced
ITC,"ITC Ltd
",47.66,18742.0,2.205571077808822,Balanced
JINDALSTEL,Jindal Steel & Power Ltd,46.52,-2336.0,16.570679588513325,Capital Stressed
JIOFIN,Jio Financial Services Ltd,46.89,763.0,77.68194070080862,Aggressive Growth
JSWENERGY,JSW Energy Ltd,46.45,-1963.0,71.36514017064252,Capital Stressed
JSWSTEEL,JSW Steel Ltd,46.46,-2389.0,8.266573717472543,Capital Stressed
KOTAKBANK,"Kotak Mahindra Bank Ltd
",43.85,6766.0,15.859665344879708,Aggressive Growth
LICI,Life Insurance Corporation of India,47.17,853.0,2.986999477520373,Balanced
LODHA,Macrotech Developers Ltd,46.56,-435.0,28.567274137262505,Capital Stressed
LT,Larsen & Toubro Ltd,47.27,20445.0,0.9854689683555468,Balanced
LTIM,LTIMindtree Ltd,46.7,1752.0,11.031337106174508,Aggressive Growth
M&M,"Mahindra & Mahindra Ltd
",46.18,-11245.0,4.037302808495952,Capital Stressed
MARUTI,Maruti Suzuki India Ltd,46.9,4936.0,8.363997800617518,Aggressive Growth
MOTHERSON,Samvardhana Motherson International Ltd,46.58,925.0,6.732055283102987,Aggressive Growth
NAUKRI,Info Edge (India) Ltd,46.62,-150.0,33.59621451104101,Capital Stressed
NESTLEIND,Nestle India Ltd,46.87,2938.0,5.070919078461917,Aggressive Growth
NHPC,"NHPC Ltd
",46.59,970.0,61.96013289036545,Aggressive Growth
NTPC,NTPC Ltd,46.77,8644.0,18.00606159069137,Aggressive Growth
ONGC,Oil & Natural Gas Corpn Ltd,47.81,42060.0,9.672537521390066,Aggressive Growth
PFC,Power Finance Corporation Ltd,43.17,-101229.0,3.7253573458058313,Capital Stressed
PIDILITIND,Pidilite Industries Ltd,46.71,955.0,14.285714285714285,Aggressive Growth
PNB,Punjab National Bank,50.0,-29445.0,1.3808279466373263,Capital Stressed
POWERGRID,Power Grid Corporation of India Ltd,47.24,24176.0,28.606330301245556,Aggressive Growth
RECLTD,REC Ltd,44.51,-59554.0,3.8533577456489256,Capital Stressed
RELIANCE,"Reliance Industries Ltd
",47.88,45207.0,12.633572884885115,Aggressive Growth
SBILIFE,SBI Life Insurance Company Ltd,46.86,-2099.0,23.6544231293754,Capital Stressed
SHREECEM,Shree Cement Ltd,46.67,1929.0,6.9099946396374445,Aggressive Growth
SHRIRAMFIN,"Shriram Finance Ltd
",45.45,-31359.0,0.7090249532813014,Capital Stressed
SUNPHARMA,Sun Pharmaceuticals Industries Ltd,47.01,11372.0,1.5732931933934058,Balanced
TATACONSUM,Tata Consumer Products Ltd,46.61,26.0,12.567407602262264,Aggressive Growth
TATAMOTORS,Tata Motors Ltd,47.87,45133.0,5.2022250232915,Aggressive Growth
TATAPOWER,"Tata Power Company Ltd
",46.6,3569.0,14.69023092320461,Aggressive Growth
TATASTEEL,"Tata Steel Ltd
",46.69,6048.0,6.219373306395661,Aggressive Growth
TCS,Tata Consultancy Services Ltd,48.23,50429.0,2.528508507926756,Balanced
TECHM,Tech Mahindra Ltd,46.75,5058.0,2.534810370028464,Balanced
TITAN,"Titan Company Ltd
",46.58,1506.0,0.3699788583509513,Balanced
TORNTPHARM,Torrent Pharmaceuticals Ltd,46.68,3106.0,1.4914243102162563,Balanced
TRENT,Trent Ltd,46.64,841.0,4.105050505050505,Balanced
TVSMOTOR,TVS Motor Company Ltd,46.32,-2254.0,2.557159279601482,Capital Stressed
SIEMENS,Siemens Ltd,46.73,1168.0,2.2571942446043165,Balanced
