company_id,company_name,year,trend_flag
IOC,"Indian Oil Corporation
",2024-03,ROE Improving
IOC,"Indian Oil Corporation
",2024-03,Debt Reducing
IRCTC,Indian Railway Catering & Tourism Corporation Ltd,2024-03,ROE Deteriorating
IRCTC,Indian Railway Catering & Tourism Corporation Ltd,2024-03,Debt Reducing
IRFC,Indian Railway Finance Corporation Ltd,2024-03,ROE Deteriorating
IRFC,Indian Railway Finance Corporation Ltd,2024-03,Debt Reducing
ITC,"ITC Ltd
",2024-03,ROE Deteriorating
ITC,"ITC Ltd
",2024-03,Debt Reducing
JINDALSTEL,Jindal Steel & Power Ltd,2024-03,ROE Improving
JINDALSTEL,Jindal Steel & Power Ltd,2024-03,Debt Increasing
JIOFIN,Jio Financial Services Ltd,2024-03,ROE Improving
JIOFIN,Jio Financial Services Ltd,2024-03,Debt Reducing
JSWENERGY,JSW Energy Ltd,2024-03,ROE Improving
JSWENERGY,JSW Energy Ltd,2024-03,Debt Increasing
JSWSTEEL,JSW Steel Ltd,2024-03,ROE Improving
JSWSTEEL,JSW Steel Ltd,2024-03,Debt Reducing
KOTAKBANK,"Kotak Mahindra Bank Ltd
",2024-03,ROE Improving
KOTAKBANK,"Kotak Mahindra Bank Ltd
",2024-03,Debt Increasing
LICI,Life Insurance Corporation of India,2024-03,ROE Deteriorating
LODHA,Macrotech Developers Ltd,2024-03,ROE Improving
LODHA,Macrotech Developers Ltd,2024-03,Debt Reducing
LT,Larsen & Toubro Ltd,2024-03,ROE Improving
LT,Larsen & Toubro Ltd,2024-03,Debt Increasing
LTIM,LTIMindtree Ltd,2024-03,ROE Deteriorating
LTIM,LTIMindtree Ltd,2024-03,Debt Increasing
M&M,"Mahindra & Mahindra Ltd
",2024-03,ROE Deteriorating
M&M,"Mahindra & Mahindra Ltd
",2024-03,Debt Increasing
MARUTI,Maruti Suzuki India Ltd,2024-03,ROE Improving
MARUTI,Maruti Suzuki India Ltd,2024-03,Debt Reducing
MOTHERSON,Samvardhana Motherson International Ltd,2024-03,ROE Improving
MOTHERSON,Samvardhana Motherson International Ltd,2024-03,Debt Increasing
NAUKRI,Info Edge (India) Ltd,2024-03,ROE Improving
NESTLEIND,Nestle India Ltd,2024-03,ROE Deteriorating
NESTLEIND,Nestle India Ltd,2024-03,Debt Reducing
NHPC,"NHPC Ltd
",2024-03,ROE Deteriorating
NHPC,"NHPC Ltd
",2024-03,Debt Increasing
NTPC,NTPC Ltd,2024-03,ROE Improving
NTPC,NTPC Ltd,2024-03,Debt Reducing
ONGC,Oil & Natural Gas Corpn Ltd,2024-03,ROE Improving
ONGC,Oil & Natural Gas Corpn Ltd,2024-03,Debt Reducing
PFC,Power Finance Corporation Ltd,2024-03,ROE Improving
PFC,Power Finance Corporation Ltd,2024-03,Debt Reducing
PIDILITIND,Pidilite Industries Ltd,2024-03,ROE Improving
PIDILITIND,Pidilite Industries Ltd,2024-03,Debt Reducing
PNB,Punjab National Bank,2024-03,ROE Improving
PNB,Punjab National Bank,2024-03,Debt Reducing
POWERGRID,Power Grid Corporation of India Ltd,2024-03,ROE Deteriorating
POWERGRID,Power Grid Corporation of India Ltd,2024-03,Debt Reducing
RECLTD,REC Ltd,2024-03,ROE Improving
RECLTD,REC Ltd,2024-03,Debt Reducing
RELIANCE,"Reliance Industries Ltd
",2024-03,ROE Deteriorating
RELIANCE,"Reliance Industries Ltd
",2024-03,Debt Reducing
SBILIFE,SBI Life Insurance Company Ltd,2024-03,ROE Deteriorating
SHREECEM,Shree Cement Ltd,2024-03,ROE Deteriorating
SHREECEM,Shree Cement Ltd,2024-03,Debt Reducing
SHRIRAMFIN,"Shriram Finance Ltd
",2024-03,ROE Improving
SHRIRAMFIN,"Shriram Finance Ltd
",2024-03,Debt Increasing
SIEMENS,Siemens Ltd,2024-09,ROE Improving
SIEMENS,Siemens Ltd,2024-09,Debt Increasing
SUNPHARMA,Sun Pharmaceuticals Industries Ltd,2024-03,ROE Deteriorating
SUNPHARMA,Sun Pharmaceuticals Industries Ltd,2024-03,Debt Reducing
TATACONSUM,Tata Consumer Products Ltd,2024-03,ROE Deteriorating
TATACONSUM,Tata Consumer Products Ltd,2024-03,Debt Increasing
TATAMOTORS,Tata Motors Ltd,2024-03,ROE Improving
TATAMOTORS,Tata Motors Ltd,2024-03,Debt Reducing
TATAPOWER,"Tata Power Company Ltd
",2024-03,Debt Reducing
TATASTEEL,"Tata Steel Ltd
",2024-03,ROE Deteriorating
TATASTEEL,"Tata Steel Ltd
",2024-03,Debt Increasing
TCS,Tata Consultancy Services Ltd,2024-03,ROE Improving
TCS,Tata Consultancy Services Ltd,2024-03,Debt Increasing
TECHM,Tech Mahindra Ltd,2024-03,ROE Deteriorating
TECHM,Tech Mahindra Ltd,2024-03,Debt Reducing
TITAN,"Titan Company Ltd
",2024-03,ROE Improving
TITAN,"Titan Company Ltd
",2024-03,Debt Increasing
TORNTPHARM,Torrent Pharmaceuticals Ltd,2024-03,ROE Improving
TORNTPHARM,Torrent Pharmaceuticals Ltd,2024-03,Debt Reducing
TRENT,Trent Ltd,2024-03,ROE Improving
TRENT,Trent Ltd,2024-03,Debt Reducing
TVSMOTOR,TVS Motor Company Ltd,2024-03,ROE Improving
TVSMOTOR,TVS Motor Company Ltd,2024-03,Debt Reducing
