company_id,company_name,year,broad_sector,return_on_equity_pct,return_on_capital_employed_pct,net_profit_margin_pct,operating_profit_margin_pct,debt_to_equity,interest_coverage,icr_label,free_cash_flow_cr,revenue_cagr_3yr,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,sales,net_profit,pe_ratio,pb_ratio,dividend_yield_pct,dividend_payout_ratio_pct,market_cap_crore,sprint3_composite_score,sector_relative_score,de_declining_flag
TITAN,"Titan Company Ltd
",TTM,Consumer Discretionary,37.2192057915469,18.891697764937202,5.955047926842704,9.620257813360755,1.653145959757266,6.877380952380952,Covered,1506.0,23.66,20.94,16.78,16.83,54458.0,3243.0,10.13,10.51,3.1,28.0,1793769.72,47.71,41.67,False
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",TTM,Materials,29.677488252883382,31.75172153570418,13.295627458298643,19.181189170566448,0.1321016659547202,32.14537444933921,Covered,3556.0,6.17,11.5,10.79,11.38,34831.0,4631.0,73.37,3.9,2.42,58.0,2126725.18,46.13,65.59,False
POWERGRID,Power Grid Corporation of India Ltd,TTM,Energy,17.870011245496066,12.689046909266978,34.296690823365054,85.64349951977648,1.4173456039290386,4.6443415405466455,Covered,24176.0,3.25,3.95,7.28,7.21,45812.0,15712.0,64.39,5.1,3.09,67.0,372584.24,45.7,68.36,True
JIOFIN,Jio Financial Services Ltd,TTM,Financials,1.153456416595399,1.104587235082323,81.65650406504065,77.79471544715447,0.0,198.8,Debt Free,763.0,,,,,1968.0,1607.0,34.24,9.91,3.09,0.0,1401774.99,45.21,65.46,True
MOTHERSON,Samvardhana Motherson International Ltd,TTM,Consumer Discretionary,11.546549416937488,11.962584369642121,3.769358761039294,9.575615732021722,0.7616899254444657,5.545366327025715,Covered,925.0,19.7,12.49,26.08,24.57,109382.0,4123.0,9.54,2.38,2.18,20.0,146151.16,45.01,29.21,False
HAVELLS,Havells India Ltd,TTM,Industrials,17.067275412917954,19.90967741935484,6.770808144314939,9.711273395560283,0.040687525177924,50.391304347826086,Covered,335.0,14.05,16.98,13.75,12.89,20677.0,1400.0,45.41,14.08,2.6,44.0,2521508.87,40.93,48.8,False
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",TTM,Healthcare,13.480392156862745,13.913114353248023,5.979774292833065,13.410523230250623,0.7688869665513264,6.2296137339055795,Covered,383.0,11.76,12.72,23.16,19.97,20469.0,1224.0,47.72,7.68,3.22,26.0,1905622.43,40.55,7.3,False
DLF,DLF Ltd,TTM,Real Estate,6.908270142781061,4.464023494860499,57.19182973860877,26.9247250392801,0.12259389820192235,6.598445595854923,Covered,1010.0,6.99,2.85,,,7001.0,4004.0,46.26,14.32,2.58,45.0,1381712.03,39.01,100.0,False
CANBK,Canara Bank,TTM,Financials,16.716051794688113,3.0948490094827803,13.879489413025997,40.22547574376843,14.867419925542423,1.5798512864381127,Covered,13296.0,19.13,19.13,,,119392.0,16571.0,36.74,12.61,3.81,19.0,496415.88,38.66,41.15,True
IRFC,Indian Railway Finance Corporation Ltd,TTM,Financials,13.038085361638096,5.746523336036321,24.299308601590962,99.46472381235596,8.378352548852153,1.3235425011125945,Covered,7906.0,9.84,14.92,15.42,10.76,26902.0,6537.0,9.81,3.91,2.82,31.0,2618348.58,36.51,33.17,True
SHREECEM,Shree Cement Ltd,TTM,Materials,8.370767521615225,11.722348942260387,8.751641248358752,21.34127865872134,0.07998840747717723,21.152838427947597,Covered,1929.0,9.68,9.0,2.34,2.42,19802.0,1733.0,25.87,1.21,3.2,16.0,3154358.33,36.31,36.79,True
DABUR,Dabur India Ltd,TTM,Consumer Staples,18.355969997972835,17.816757189920754,14.139953402426286,18.807744838113603,0.13835394283397526,18.93421052631579,Covered,1042.0,4.56,7.46,3.98,4.56,12447.0,1760.0,50.95,13.59,3.42,53.0,56521.84,35.41,15.57,False
