company_id,company_name,year,broad_sector,return_on_equity_pct,return_on_capital_employed_pct,net_profit_margin_pct,operating_profit_margin_pct,debt_to_equity,interest_coverage,icr_label,free_cash_flow_cr,revenue_cagr_3yr,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,sales,net_profit,pe_ratio,pb_ratio,dividend_yield_pct,dividend_payout_ratio_pct,market_cap_crore,sprint3_composite_score,sector_relative_score,de_declining_flag
ICICIBANK,ICICI Bank Ltd,TTM,Financials,17.99027109750765,5.11888931768417,29.031132477804057,69.63240303293806,6.445624336310825,1.2346170089474253,Covered,12547.0,23.69,16.31,36.1,36.08,180551.0,52416.0,25.76,6.2,3.43,16.0,1319221.86,53.73,97.09,True
ICICIGI,ICICI Lombard General Insurance Company Ltd,TTM,Financials,15.7230643179025,145.22875816993462,10.806403158662718,85.5671430410712,0.0028676771814829987,-1662.6666666666667,Covered,486.0,13.29,15.13,16.09,14.42,23301.0,2518.0,49.0,7.86,3.46,28.0,1271789.21,52.96,94.23,True
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",TTM,Industrials,15.3548827162833,11.44374462092168,34.25447386000071,60.348767710860315,0.9373223691689719,7.025858741798533,Covered,8250.0,18.44,19.09,20.82,18.82,28443.0,9743.0,48.9,2.31,1.16,16.0,675598.01,52.24,74.92,True
MARUTI,Maruti Suzuki India Ltd,TTM,Consumer Discretionary,15.750385351954785,15.59092764270305,9.655471617554902,13.611728977433149,0.001389602503619973,116.83018867924528,Covered,4936.0,18.02,13.93,19.82,18.86,145213.0,14021.0,20.78,8.26,1.78,29.0,1503863.63,50.44,54.27,True
BOSCHLTD,Bosch Ltd,TTM,Consumer Discretionary,20.639920424403183,13.756919771957365,12.151603498542274,12.921282798833818,0.003232758620689655,237.84615384615384,Covered,1536.0,13.33,11.75,26.24,26.3,17150.0,2084.0,58.43,6.47,4.23,44.0,2599556.05,49.76,51.14,True
BAJAJ-AUTO,Bajaj Auto Ltd,TTM,Consumer Discretionary,26.61418410330778,27.207358942799765,15.073619631901842,18.697341513292436,0.06601754022512257,65.10975609756098,Covered,6486.0,13.84,10.32,7.18,7.88,48900.0,7371.0,29.91,9.83,3.59,29.0,653817.3,48.95,47.4,False
HCLTECH,HCL Technologies Ltd,TTM,Information Technology,23.01393141233172,27.05313357020305,14.816838380684775,21.801609602109135,0.08435023365512796,41.867981790591806,Covered,15840.0,10.42,10.29,9.09,8.97,115308.0,17085.0,63.63,5.44,1.99,90.0,412593.29,47.62,44.25,False
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",TTM,Materials,29.677488252883382,31.75172153570418,13.295627458298643,19.181189170566448,0.1321016659547202,32.14537444933921,Covered,3556.0,6.17,11.5,10.79,11.38,34831.0,4631.0,73.37,3.9,2.42,58.0,2126725.18,46.13,65.59,False
PIDILITIND,Pidilite Industries Ltd,TTM,Materials,20.780302129178065,26.93139151211742,15.29338810944888,22.88194713588094,0.045438325205186154,63.183673469387756,Covered,955.0,9.15,12.08,11.95,11.55,12901.0,1973.0,36.12,12.3,1.01,47.0,162274.18,42.96,56.29,True
SIEMENS,Siemens Ltd,2024-09,Industrials,17.698769290877124,17.7411102583781,12.221223021582734,13.956834532374101,0.018167610861496385,67.15,Covered,1168.0,19.0,11.19,19.85,19.64,22240.0,2718.0,,,,16.0,,42.38,52.15,False
HAVELLS,Havells India Ltd,TTM,Industrials,17.067275412917954,19.90967741935484,6.770808144314939,9.711273395560283,0.040687525177924,50.391304347826086,Covered,335.0,14.05,16.98,13.75,12.89,20677.0,1400.0,45.41,14.08,2.6,44.0,2521508.87,40.93,48.8,False
CANBK,Canara Bank,TTM,Financials,16.716051794688113,3.0948490094827803,13.879489413025997,40.22547574376843,14.867419925542423,1.5798512864381127,Covered,13296.0,19.13,19.13,,,119392.0,16571.0,36.74,12.61,3.81,19.0,496415.88,38.66,41.15,True
