company_id,company_name,year,broad_sector,return_on_equity_pct,return_on_capital_employed_pct,net_profit_margin_pct,operating_profit_margin_pct,debt_to_equity,interest_coverage,icr_label,free_cash_flow_cr,revenue_cagr_3yr,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,sales,net_profit,pe_ratio,pb_ratio,dividend_yield_pct,dividend_payout_ratio_pct,market_cap_crore,sprint3_composite_score,sector_relative_score,de_declining_flag
CIPLA,"Cipla Ltd
",TTM,Healthcare,15.554557028383135,67.603154227031,18.48337719135688,74.40421037026054,0.020931625851868495,24.453771289537713,Covered,1152.0,7.43,9.51,27.16,26.69,26981.0,4987.0,59.75,5.93,0.12,25.0,439803.15,52.17,92.12,True
MARUTI,Maruti Suzuki India Ltd,TTM,Consumer Discretionary,15.750385351954785,15.59092764270305,9.655471617554902,13.611728977433149,0.001389602503619973,116.83018867924528,Covered,4936.0,18.02,13.93,19.82,18.86,145213.0,14021.0,20.78,8.26,1.78,29.0,1503863.63,50.44,54.27,True
DMART,Avenue Supermarts Ltd,TTM,Consumer Discretionary,13.56294790886726,17.49611197511664,4.754164263366718,7.823396780451995,0.031661140228901485,72.078125,Covered,278.0,22.69,18.13,15.89,16.0,57213.0,2720.0,72.53,11.71,1.94,0.0,3053088.97,49.96,52.06,True
HINDUNILVR,"Hindustan Unilever Ltd
",TTM,Consumer Staples,20.074973642078955,87.32306174338734,17.16697786501971,76.44627439715293,0.028974188761763442,32.80355920602327,Covered,10145.0,6.11,9.51,9.75,8.21,62661.0,10757.0,34.51,11.88,4.32,96.0,548890.59,49.94,67.68,False
BOSCHLTD,Bosch Ltd,TTM,Consumer Discretionary,20.639920424403183,13.756919771957365,12.151603498542274,12.921282798833818,0.003232758620689655,237.84615384615384,Covered,1536.0,13.33,11.75,26.24,26.3,17150.0,2084.0,58.43,6.47,4.23,44.0,2599556.05,49.76,51.14,True
BAJAJ-AUTO,Bajaj Auto Ltd,TTM,Consumer Discretionary,26.61418410330778,27.207358942799765,15.073619631901842,18.697341513292436,0.06601754022512257,65.10975609756098,Covered,6486.0,13.84,10.32,7.18,7.88,48900.0,7371.0,29.91,9.83,3.59,29.0,653817.3,48.95,47.4,False
SUNPHARMA,Sun Pharmaceuticals Industries Ltd,TTM,Healthcare,15.094161810671148,15.627194096293751,22.09787707720442,27.94585354218017,0.051423814535002436,65.39748953974896,Covered,11372.0,9.18,8.91,21.65,23.52,50308.0,11117.0,37.9,6.71,3.88,34.0,1339586.09,48.17,62.92,True
HCLTECH,HCL Technologies Ltd,TTM,Information Technology,23.01393141233172,27.05313357020305,14.816838380684775,21.801609602109135,0.08435023365512796,41.867981790591806,Covered,15840.0,10.42,10.29,9.09,8.97,115308.0,17085.0,63.63,5.44,1.99,90.0,412593.29,47.62,44.25,False
HEROMOTOCO,"Hero MotoCorp Ltd
",TTM,Consumer Discretionary,21.14243742584327,173.7066375307293,10.307247244251585,86.13147787919597,0.03423922255494661,37.191603875134554,Covered,3095.0,10.71,6.51,2.47,2.61,40098.0,4133.0,53.86,12.6,1.91,75.0,1593400.88,43.77,23.49,False
PIDILITIND,Pidilite Industries Ltd,TTM,Materials,20.780302129178065,26.93139151211742,15.29338810944888,22.88194713588094,0.045438325205186154,63.183673469387756,Covered,955.0,9.15,12.08,11.95,11.55,12901.0,1973.0,36.12,12.3,1.01,47.0,162274.18,42.96,56.29,True
SIEMENS,Siemens Ltd,2024-09,Industrials,17.698769290877124,17.7411102583781,12.221223021582734,13.956834532374101,0.018167610861496385,67.15,Covered,1168.0,19.0,11.19,19.85,19.64,22240.0,2718.0,,,,16.0,,42.38,52.15,False
SBILIFE,SBI Life Insurance Company Ltd,TTM,Financials,12.704588140595655,1.140327341024953,1.8535745312247738,0.7741806524028815,0.0,240.33333333333334,Debt Free,-2099.0,16.16,24.32,11.14,11.38,130073.0,2411.0,69.98,9.48,1.62,14.0,886097.71,42.19,54.25,False
HAVELLS,Havells India Ltd,TTM,Industrials,17.067275412917954,19.90967741935484,6.770808144314939,9.711273395560283,0.040687525177924,50.391304347826086,Covered,335.0,14.05,16.98,13.75,12.89,20677.0,1400.0,45.41,14.08,2.6,44.0,2521508.87,40.93,48.8,False
